學年期,系所名稱,系號-序號課程碼-分班碼屬性碼,年級班別組別,類別,"科目名稱(連結課程地圖)             備註 
             限選條件",學分選必修,教師姓名*:主負責老師,已選課人數/餘額,時間/教室,課綱/Moodle,Syllabus Link
0110-1,統計系 STAT,H2-151  H240200  [STAT4008],4,講義,統計諮詢,3  必修,蘇佩芳,33/1,[2]6~8 統計系館 62331,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0110&sem=1&co_no=H240200&class_code=
0110-1,統計系 STAT,H2-152  H240700  [STAT4009],4,講義,統計資料分析,3  必修,馬瀰嘉,31/0額滿,[2]6~8 統計系館 62227,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0110&sem=1&co_no=H240700&class_code=
0110-1,統計系 STAT,H2-157  H242300  [STAT4028],4,講義,巨量資料分析,3  選修,李政德,200/30,[3]2~4 統計系館 62333,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0110&sem=1&co_no=H242300&class_code=
0110-1,統計系 STAT,H2-158  H244101  [STAT4021],4,實習,市場調查實務,1  必修,趙昌泰,29/31,[5]9~A 統計系館 62113,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0110&sem=1&co_no=H244101&class_code=
0110-1,統計系 STAT,H2-160  H243000  [STAT4018],4,講義,統計問題,3  選修,楊明宗,23/27,[2]2~4 統計系館 62113,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0110&sem=1&co_no=H243000&class_code=
0110-1,統計系 STAT,H2-161  H143700  [ACC4015],4,講義,公司治理與財務報導—國際會計與稅務專題研,3  選修,王金來,780/額滿,[5]2~4 會計系館 63104,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0110&sem=1&co_no=H143700&class_code=
0110-1,統計系 STAT,H200000-Z4  [STAT],4,講義,通識課程,2  必修,,0/請參考備註,[5]1~2,Moodle,
0110-2,統計系 STAT,A718320-Zi  [CL1080],1,大學國文,大學國文（二）,2  必修,,0/請參0考備註,[1]7~8,Moodle,
0110-2,統計系 STAT,A119120-Zl  [FLC1001],1,講義,外國語言（二）,2  必修,,0/請參考備註,[2]5~6,Moodle,
0110-2,統計系 STAT,H200000-Z1  [STAT],1,講義,通識課程,2  必修,,0/請0參考備註,[5]1~2,Moodle,
0110-2,統計系 STAT,H210020-Z  [STAT],1,講義,體育（二）,0  必修,,0/請0參考備註,[5]7~8,Moodle,
0110-2,統計系 STAT,H2-006  H211620  [STAT1008],1,講義,統計學（二）,3  必修,溫敏杰,950/額滿,[1]2~3 統計系館 62115[3]2 統計系館 62115,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0110&sem=2&co_no=H211620&class_code=
0110-2,統計系 STAT,H2-007  H210301  [STAT1001],1,講義,計算機概論,3  必修,許志仲,067/3,[2]1 統計系館 62225[4]3~4 統計系館 62225,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0110&sem=2&co_no=H210301&class_code=
0110-2,統計系 STAT,H2-010  H210820  [STAT1004],1,講義,微積分（二）,3  必修,林良靖,57/13,[1]5~6 統計系館 62223[3]5 統計系館 62223,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0110&sem=2&co_no=H210820&class_code=
0110-2,統計系 STAT,H2-015  H211220  [STAT1006],1,講義,經濟學（二）,3  必修,林姿妤,73/02,[4]5~7 統計系館 62223,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0110&sem=2&co_no=H211220&class_code=
0110-2,統計系 STAT,H2-016  H217920  [STAT0012],1,實習,服務學習（二）,0  必修,李俊毅,600/21,[5]N 統計系館 62223,課程大綱   Moodle,https://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0110&sem=2&co_no=H217920&class_code=
